iter	Passed	Remaining
0	231	463499
1	398	398126
2	528	352084
3	603	301258
4	671	267964
5	812	270064
6	897	255543
7	975	242789
8	1072	237342
9	1150	229017
10	1217	220071
11	1270	210451
12	1332	203594
13	1415	200827
14	1480	195982
15	1537	190690
16	1619	188861
17	1705	187785
18	1766	184161
19	1808	179062
20	1850	174367
21	1891	170086
22	1932	166124
23	1969	162189
24	2006	158520
25	2043	155156
26	2076	151731
27	2166	152574
28	2201	149605
29	2250	147800
30	2293	145701
31	2343	144144
32	2403	143265
33	2458	142141
34	2501	140461
35	2546	138914
36	2590	137435
37	2648	136756
38	2754	138513
39	2868	140570
40	2978	142332
41	3077	143493
42	3172	144370
43	3272	145455
44	3377	146716
45	3468	147331
46	3513	145987
47	3557	144678
48	3599	143333
49	3632	141669
50	3675	140443
51	3713	139113
52	3761	138198
53	3801	137006
54	3849	136140
55	3889	135009
56	3924	133791
57	3959	132574
58	3997	131505
59	4029	130278
60	4063	129180
61	4096	128052
62	4130	126984
63	4176	126339
64	4214	125471
65	4251	124594
66	4287	123689
67	4320	122747
68	4358	121971
69	4403	121416
70	4450	120904
71	4491	120265
72	4524	119429
73	4557	118624
74	4594	117919
75	4628	117166
76	4663	116473
77	4700	115814
78	4733	115094
79	4770	114487
80	4809	113945
81	4845	113338
82	4880	112725
83	4927	112388
84	4973	112043
85	5076	112984
86	5164	113570
87	5244	113952
88	5348	114852
89	5441	115472
90	5526	115935
91	5602	116181
92	5674	116349
93	5749	116570
94	5805	116424
95	5841	115849
96	5880	115374
97	5919	114884
98	5961	114482
99	5999	113993
100	6038	113528
101	6074	113026
102	6108	112507
103	6143	111997
104	6174	111436
105	6211	110991
106	6244	110474
107	6278	109985
108	6325	109744
109	6372	109495
110	6419	109250
111	6466	109005
112	6506	108657
113	6551	108384
114	6597	108133
115	6681	108524
116	6761	108823
117	6841	109119
118	6931	109564
119	6999	109661
120	7072	109820
121	7123	109648
122	7198	109843
123	7261	109866
124	7322	109835
125	7394	109976
126	7473	110212
127	7579	110847
128	7645	110894
129	7710	110908
130	7756	110665
131	7805	110455
132	7859	110329
133	7896	109964
134	7954	109887
135	8016	109878
136	8086	109960
137	8139	109830
138	8182	109550
139	8233	109392
140	8282	109200
141	8341	109145
142	8381	108836
143	8436	108738
144	8507	108835
145	8560	108703
146	8612	108568
147	8669	108491
148	8717	108296
149	8766	108121
150	8808	107861
151	8864	107768
152	8932	107833
153	8996	107837
154	9104	108367
155	9179	108509
156	9261	108713
157	9332	108795
158	9392	108748
159	9442	108591
160	9501	108529
161	9571	108600
162	9633	108567
163	9681	108387
164	9729	108202
165	9830	108614
166	9885	108502
167	9928	108263
168	9974	108063
169	10008	107741
170	10068	107690
171	10134	107704
172	10198	107700
173	10264	107718
174	10328	107709
175	10378	107558
176	10428	107409
177	10496	107437
178	10555	107380
179	10611	107298
180	10661	107141
181	10711	107000
182	10758	106823
183	10802	106616
184	10845	106404
185	10880	106112
186	10915	105824
187	10951	105557
188	10983	105243
189	11021	104991
190	11056	104716
191	11095	104478
192	11139	104294
193	11179	104075
194	11219	103852
195	11250	103555
196	11286	103299
197	11316	102988
198	11345	102680
199	11378	102407
200	11407	102096
201	11438	101817
202	11471	101550
203	11505	101293
204	11547	101107
205	11586	100903
206	11646	100882
207	11695	100759
208	11739	100599
209	11792	100520
210	11845	100434
211	11879	100189
212	11911	99931
213	11944	99684
214	11980	99467
215	12015	99241
216	12049	99008
217	12110	98997
218	12206	99265
219	12288	99427
220	12394	99772
221	12495	100074
222	12596	100379
223	12695	100660
224	12794	100937
225	12887	101161
226	12940	101074
227	12979	100875
228	13020	100693
229	13056	100478
230	13093	100269
231	13131	100074
232	13169	99875
233	13213	99721
234	13254	99548
235	13291	99351
236	13331	99168
237	13364	98939
238	13403	98756
239	13440	98565
240	13476	98363
241	13512	98160
242	13547	97951
243	13579	97730
244	13614	97523
245	13647	97308
246	13682	97107
247	13714	96888
248	13749	96691
249	13784	96492
250	13818	96290
251	13853	96092
252	13884	95877
253	13925	95723
254	13972	95616
255	14023	95538
256	14073	95449
257	14131	95415
258	14185	95355
259	14243	95325
260	14291	95222
261	14340	95126
262	14397	95092
263	14480	95218
264	14609	95648
265	14672	95649
266	14722	95557
267	14782	95533
268	14853	95578
269	14909	95534
270	14972	95526
271	15038	95538
272	15094	95485
273	15161	95508
274	15228	95521
275	15290	95512
276	15361	95554
277	15434	95603
278	15502	95624
279	15575	95676
280	15625	95587
281	15675	95498
282	15727	95422
283	15788	95399
284	15843	95339
285	15891	95240
286	15941	95146
287	15990	95054
288	16045	94996
289	16092	94888
290	16150	94850
291	16192	94717
292	16230	94555
293	16269	94408
294	16304	94237
295	16339	94063
296	16381	93931
297	16417	93766
298	16455	93616
299	16492	93458
300	16527	93292
301	16563	93128
302	16598	92962
303	16650	92890
304	16695	92785
305	16744	92698
306	16800	92650
